experiment_id,LB_private,LB_public,CV_70k_tta9,CV_70k,CV_14k_f0,CV_14k_f1,CV_14k_f2,CV_14k_f3,CV_14k_f4,n_epochs_f0,n_epochs_f1,n_epochs_f2,n_epochs_f3,n_epochs_f4,ensemble_id,task,architecture,image_resolution,image_n_channels,image_inverted,n_frames,step,historical_depth,backbone,backbone_weights,batch_size,learning_rate,max_n_epochs,aug_number,tta_number,experiment_description
run-20210124-0112,,,7.093,7.1493,7.3294,7.5053,6.9324,7.0782,6.8627,10,15,15,15,14,ens_both,regr,cnn-lstm,366,3,yes,24,1,24,EfficientNet-B7,imagenet,32,0.0001,15,9,9,Researching different backbone
run-20210124-0119,,,7.5709,7.7668,7.6408,8.1852,7.4936,8.0179,7.4881,15,6,15,10,9,ens_51_only,regr,cnn-trans,366,3,yes,24,1,24,EfficientNet-B0,imagenet,64,0.0001,15,9,9,Researching Transformer instead of LSTM
run-20210124-0131,,,7.6858,8.019,7.6921,8.4345,8.0392,8.2752,7.6269,29,28,29,20,25,ens_51_only,regr,cnn-trans,366,3,yes,24,1,24,EfficientNet-B0,imagenet,32,0.0001,30,9,9,Researching Transformer instead of LSTM
run-20210124-0156,,,7.5243,7.765,7.5192,7.995,7.6291,7.9602,7.6903,18,24,29,28,12,ens_51_only,regr,cnn-trans,366,3,yes,24,1,24,EfficientNet-B0,imagenet,32,0.0001,30,9,9,Researching Transformer instead of LSTM
run-20210125-1412,,,7.021,7.2085,7.237,7.5322,6.8872,7.4341,6.9124,13,14,12,6,10,ens_both,regr,cnn-lstm,366,3,yes,36,1,36,EfficientNet-B0,imagenet,32,0.0001,15,9,9,Researching different historical depth
run-20210125-1843,,,6.9929999999999986,7.0874,6.9238,7.616,6.9891,7.1271,6.7287,5,13,14,11,15,ens_both,regr,cnn-lstm,366,3,yes,60,1,60,EfficientNet-B0,imagenet,32,0.0001,15,9,9,Researching different historical depth
run-20210126-0329,,,6.9739,7.069,7.0632,7.4315,6.7583,7.2118,6.8260000000000005,9,12,14,15,12,ens_both,regr,cnn-lstm,366,3,yes,24,1,24,ResNet50,imagenet,64,0.0001,15,9,9,Researching different backbone
run-20210126-1835,,,7.9405,8.44,8.2114,8.6805,8.0655,8.6626,7.9644,9,11,10,10,7,ens_51_only,clas,cnn-lstm,366,3,yes,24,1,24,EfficientNet-B3,imagenet,64,0.0001,15,9,9,Researching classification task
run-20210126-1905,,,8.244,8.6499,8.587,8.6336,8.3255,8.9827,8.209,4,10,13,15,6,ens_51_only,clas,cnn-lstm,366,3,yes,24,1,24,EfficientNet-B3,imagenet,64,0.0001,15,9,9,Researching classification task
run-20210126-2217,,,7.0308,7.1537,7.2638,7.4252,6.9171,7.1725,6.9392,14,13,15,15,7,ens_both,regr,cnn-lstm,366,3,yes,27,1,27,EfficientNet-B3,imagenet,64,0.0001,15,9,9,Researching different historical depth and backbone
run-20210126-2313,,,7.0503,7.1718,7.147,7.6527,6.8318,7.2051,6.9734,13,13,13,15,8,ens_both,regr,cnn-lstm,366,3,yes,24,1,24,SEResNet50,imagenet,64,0.0001,15,9,9,Researching different backbone
run-20210127-1320,,,8.2145,8.7428,8.3489,9.3587,8.6337,8.9477,8.3864,14,8,9,13,13,ens_51_only,regr,cnn-conv3d,366,3,yes,24,1,24,ResNet50_3D,imagenet,64,0.0001,15,9,9,Researching CNN-Conv3D
run-20210128-0011,,,7.1093,7.2984,7.1434,7.5173,7.3104,7.4485,7.0363,14,15,13,12,15,ens_51_only,regr,cnn-lstm,366,3,yes,24,1,24,ResNet101,imagenet,64,0.0001,15,9,9,Researching different backbone
run-20210128-0014,,,7.0251,7.2382,7.3631,7.5957,6.8802,7.4536,6.8367,15,3,8,15,15,ens_51_only,regr,cnn-lstm,366,3,yes,24,1,24,Xception,imagenet,64,0.0001,15,9,9,Researching different backbone
run-20210128-0016,,,7.2508,7.5837,7.4837,8.1614,7.0414,7.6403,7.5912,14,4,9,8,5,ens_51_only,regr,cnn-lstm,366,3,yes,24,1,24,DenseNet121,imagenet,64,0.0001,15,9,9,Researching different backbone
